Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PortB,PB1,,,TIM3_CH4,TSC_G3_IO3,TIM8_CH3N,,TIM1_CH3N,,COMP4_OUT,,,,,,,EVENTOUT
PortB,PB2,,,,TSC_G3_IO4,,,,,,,,,,,,EVENTOUT
PortB,PB3,JTDO/TRACESWO,TIM2_CH2,TIM4_ETR,TSC_G5_IO1,TIM8_CH1N,SPI1_SCK,SPI3_SCK/I2S3_CK,USART2_TX,,,TIM3_ETR,,,,,EVENTOUT
PortB,PB4,NJTRST,TIM16_CH1,TIM3_CH1,TSC_G5_IO2,TIM8_CH2N,SPI1_MISO,SPI3_MISO/I2S3ext_SD,USART2_RX,,,TIM17_BKIN,,,,,EVENTOUT
PortB,PB5,,TIM16_BKIN,TIM3_CH2,TIM8_CH3N,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,USART2_CK,,,TIM17_CH1,,,,,EVENTOUT
PortB,PB6,,TIM16_CH1N,TIM4_CH1,TSC_G5_IO3,I2C1_SCL,TIM8_CH1,TIM8_ETR,USART1_TX,,,TIM8_BKIN2,,,,,EVENTOUT
PortB,PB7,,TIM17_CH1N,TIM4_CH2,TSC_G5_IO4,I2C1_SDA,TIM8_BKIN,,USART1_RX,,,TIM3_CH4,,,,,EVENTOUT
PortB,PB8,,TIM16_CH1,TIM4_CH3,TSC_SYNC,I2C1_SCL,,,,COMP1_OUT,CAN_RX,TIM8_CH2,,TIM1_BKIN,,,EVENTOUT
PortB,PB9,,TIM17_CH1,TIM4_CH4,,I2C1_SDA,,IR_OUT,,COMP2_OUT,CAN_TX,TIM8_CH3,,,,,EVENTOUT
PortB,PB10,,TIM2_CH3,,TSC_SYNC,,,,USART3_TX,,,,,,,,EVENTOUT
PortB,PB11,,TIM2_CH4,,TSC_G6_IO1,,,,USART3_RX,,,,,,,,EVENTOUT
PortB,PB12,,,,TSC_G6_IO2,I2C2_SMBA,SPI2_NSS/I2S2_WS,TIM1_BKIN,USART3_CK,,,,,,,,EVENTOUT
PortB,PB13,,,,TSC_G6_IO3,,SPI2_SCK/I2S2_CK,TIM1_CH1N,USART3_CTS,,,,,,,,EVENTOUT
PortB,PB14,,TIM15_CH1,,TSC_G6_IO4,,SPI2_MISO/I2S2ext_SD,TIM1_CH2N,USART3_RTS_DE,,,,,,,,EVENTOUT
PortB,PB15,RTC_REFIN,TIM15_CH2,TIM15_CH1N,,TIM1_CH3N,SPI2_MOSI/I2S2_SD,,,,,,,,,,EVENTOUT
PortC,PC0,,EVENTOUT,,,,,,,,,,,,,,
PortC,PC1,,EVENTOUT,,,,,,,,,,,,,,
PortC,PC2,,EVENTOUT,,COMP7_OUT,,,,,,,,,,,,
PortC,PC3,,EVENTOUT,,,,,TIM1_BKIN2,,,,,,,,,
PortC,PC4,,EVENTOUT,,,,,,USART1_TX,,,,,,,,
PortC,PC5,,EVENTOUT,,TSC_G3_IO1,,,,USART1_RX,,,,,,,,
PortC,PC6,,EVENTOUT,TIM3_CH1,,TIM8_CH1,,I2S2_MCK,COMP6_OUT,,,,,,,,
PortC,PC7,,EVENTOUT,TIM3_CH2,,TIM8_CH2,,I2S3_MCK,COMP5_OUT,,,,,,,,
PortC,PC8,,EVENTOUT,TIM3_CH3,,TIM8_CH3,,,COMP3_OUT,,,,,,,,
PortC,PC9,,EVENTOUT,TIM3_CH4,,TIM8_CH4,I2S_CKIN,TIM8_BKIN2,,,,,,,,,
PortC,PC10,,EVENTOUT,,,TIM8_CH1N,UART4_TX,SPI3_SCK/I2S3_CK,USART3_TX,,,,,,,,
PortC,PC11,,EVENTOUT,,,TIM8_CH2N,UART4_RX,SPI3_MISO/I2S3ext_SD,USART3_RX,,,,,,,,
PortC,PC12,,EVENTOUT,,,TIM8_CH3N,UART5_TX,SPI3_MOSI/I2S3_SD,USART3_CK,,,,,,,,
PortC,PC13,,,,,TIM8_CH1N,,,,,,,,,,,
PortC,PC14,,,,,,,,,,,,,,,,
PortC,PC15,,,,,,,,,,,,,,,,
PortD,PD0,,EVENTOUT,,,,,,CAN_RX,,,,,,,,
PortD,PD1,,EVENTOUT,,,TIM8_CH4,,TIM8_BKIN2,CAN_TX,,,,,,,,
PortD,PD2,,EVENTOUT,TIM3_ETR,,TIM8_BKIN,UART5_RX,,,,,,,,,,
PortD,PD3,,EVENTOUT,TIM2_CH1/TIM2_ETR,,,,,USART2_CTS,,,,,,,,
PortD,PD4,,EVENTOUT,TIM2_CH2,,,,,USART2_RTS_DE,,,,,,,,
PortD,PD5,,EVENTOUT,,,,,,USART2_TX,,,,,,,,
PortD,PD6,,EVENTOUT,TIM2_CH4,,,,,USART2_RX,,,,,,,,
PortD,PD7,,EVENTOUT,TIM2_CH3,,,,,USART2_CK,,,,,,,,
PortD,PD8,,EVENTOUT,,,,,,USART3_TX,,,,,,,,
PortD,PD9,,EVENTOUT,,,,,,USART3_RX,,,,,,,,
PortD,PD10,,EVENTOUT,,,,,,USART3_CK,,,,,,,,
PortD,PD11,,EVENTOUT,,,,,,USART3_CTS,,,,,,,,
PortD,PD12,,EVENTOUT,TIM4_CH1,TSC_G8_IO1,,,,USART3_RTS_DE,,,,,,,,
PortD,PD13,,EVENTOUT,TIM4_CH2,TSC_G8_IO2,,,,,,,,,,,,
PortD,PD14,,EVENTOUT,TIM4_CH3,TSC_G8_IO3,,,,,,,,,,,,
PortD,PD15,,EVENTOUT,TIM4_CH4,TSC_G8_IO4,,,,,,,,,,,,
PortE,PE0,,EVENTOUT,TIM4_ETR,,TIM16_CH1,,,,,,,,,,,
PortE,PE1,,EVENTOUT,,,TIM17_CH1,,,,,,,,,,,
PortE,PE2,TRACECK,EVENTOUT,TIM3_CH1,TSC_G7_IO1,,,,,,,,,,,,
PortE,PE3,TRACED0,EVENTOUT,TIM3_CH2,TSC_G7_IO2,,,,,,,,,,,,
PortE,PE4,TRACED1,EVENTOUT,TIM3_CH3,TSC_G7_IO3,,,,,,,,,,,,
PortE,PE5,TRACED2,EVENTOUT,TIM3_CH4,TSC_G7_IO4,,,,,,,,,,,,
PortE,PE6,TRACED3,EVENTOUT,,,,,,,,,,,,,,
PortE,PE7,,EVENTOUT,TIM1_ETR,,,,,,,,,,,,,
PortE,PE8,,EVENTOUT,TIM1_CH1N,,,,,,,,,,,,,
PortE,PE9,,EVENTOUT,TIM1_CH1,,,,,,,,,,,,,
PortE,PE10,,EVENTOUT,TIM1_CH2N,,,,,,,,,,,,,
PortE,PE11,,EVENTOUT,TIM1_CH2,,,,,,,,,,,,,
PortE,PE12,,EVENTOUT,TIM1_CH3N,,,,,,,,,,,,,
PortE,PE13,,EVENTOUT,TIM1_CH3,,,,,,,,,,,,,
PortE,PE14,,EVENTOUT,TIM1_CH4,,,,TIM1_BKIN2,,,,,,,,,
PortE,PE15,,EVENTOUT,TIM1_BKIN,,,,,USART3_RX,,,,,,,,
PortF,PF0,,,,,I2C2_SDA,,TIM1_CH3N,,,,,,,,,
PortF,PF1,,,,,I2C2_SCL,,,,,,,,,,,
PortF,PF2,,EVENTOUT,,,,,,,,,,,,,,
PortF,PF4,,EVENTOUT,COMP1_OUT,,,,,,,,,,,,,
PortF,PF6,,EVENTOUT,TIM4_CH4,,I2C2_SCL,,,USART3_RTS_DE,,,,,,,,
PortF,PF9,,EVENTOUT,,TIM15_CH1,,SPI2_SCK,,,,,,,,,,
PortF,PF10,,EVENTOUT,,TIM15_CH2,,SPI2_SCK,,,,,,,,,,
